Algorithm,Dataset,RMSE,MAE,R2
Decision Tree,boston,4.89910956295161,2.9598039215686276,0.6727119006347713
Decision Tree,california,69116.02657873192,43600.67151162791,0.6354554029044672
Decision Tree,newyork,9.576608864495979,6.282062317540602,0.921237175774916
