Algorithm,Dataset,BestK,RMSE,MAE,R2
KNN,boston,2,4.135736176969004,2.755882352941176,0.7667607889791177
KNN,california,11,60760.03022877593,40418.18161997887,0.7182725901071257
KNN,newyork,5,7.636354110691279,5.0380470180070995,0.9499193567143999
