Algorithm,Dataset,RMSE,MAE,R2
Linear Regression,boston,5.00682447056816,3.153578847517556,0.6581617612134422
Linear Regression,california,69896.94055021156,50453.453363262495,0.6271711824778368
Linear Regression,newyork,15.732088827680244,13.027850013202032,0.7874453745399926
